"Name","vCPUs","MemoryGB","CachedDiskBytes","MaxResourceVolumeMB","CpuArchitectureType","LowPriorityCapable","EphemeralOSDiskSupported","EncryptionAtHostSupported","Regions"
"Standard_D4pds_v5","4","16","107374182400","153600","Arm64","True","True","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4plds_v5","4","8","107374182400","153600","Arm64","True","True","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4pls_v5","4","8","107374182400","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4ps_v5","4","16","107374182400","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4s_v3","4","16","107374182400","32768","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4s_v4","4","16","107374182400","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4s_v5","4","16","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D5_v2","16","56","0","819200","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64_v3","64","256","0","1638400","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64_v4","64","256","1717986918400","0","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64_v5","64","256","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64a_v4","64","256","0","1638400","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64ads_v5","64","256","0","2457600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64as_v4","64","256","1717986918400","524288","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64as_v5","64","256","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64d_v4","64","256","0","2457600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64d_v5","64","256","0","2457600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D64ds_v4","64","256","1717986918400","2457600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
